session_id,experiment,variant,x,metric,value
cpu-deterministic,quantisation,per_tensor,8,weight_sqnr_db,27.897891945249324
cpu-deterministic,quantisation,per_tensor,8,output_sqnr_db,27.89381948016867
cpu-deterministic,quantisation,per_tensor,8,output_relative_error,0.040300361812114716
cpu-deterministic,quantisation,per_tensor,8,output_cosine,0.9991896748542786
cpu-deterministic,quantisation,per_channel,8,weight_sqnr_db,41.827650770757245
cpu-deterministic,quantisation,per_channel,8,output_sqnr_db,41.80174493496975
cpu-deterministic,quantisation,per_channel,8,output_relative_error,0.00812667328864336
cpu-deterministic,quantisation,per_channel,8,output_cosine,0.9999669790267944
cpu-deterministic,quantisation,per_group,8,weight_sqnr_db,44.283980346829004
cpu-deterministic,quantisation,per_group,8,output_sqnr_db,44.278740096671754
cpu-deterministic,quantisation,per_group,8,output_relative_error,0.0061103058978915215
cpu-deterministic,quantisation,per_group,8,output_cosine,0.999981164932251
cpu-deterministic,quantisation,per_tensor,7,weight_sqnr_db,21.814040764483238
cpu-deterministic,quantisation,per_tensor,7,output_sqnr_db,21.819857812410127
cpu-deterministic,quantisation,per_tensor,7,output_relative_error,0.08109741657972336
cpu-deterministic,quantisation,per_tensor,7,output_cosine,0.9967280626296997
cpu-deterministic,quantisation,per_channel,7,weight_sqnr_db,35.73803292473337
cpu-deterministic,quantisation,per_channel,7,output_sqnr_db,35.73159107131917
cpu-deterministic,quantisation,per_channel,7,output_relative_error,0.016346337273716927
cpu-deterministic,quantisation,per_channel,7,output_cosine,0.9998667240142822
cpu-deterministic,quantisation,per_group,7,weight_sqnr_db,38.199848740975014
cpu-deterministic,quantisation,per_group,7,output_sqnr_db,38.17773619891842
cpu-deterministic,quantisation,per_group,7,output_relative_error,0.012334262020885944
cpu-deterministic,quantisation,per_group,7,output_cosine,0.9999240636825562
cpu-deterministic,quantisation,per_tensor,6,weight_sqnr_db,15.669031203168975
cpu-deterministic,quantisation,per_tensor,6,output_sqnr_db,15.663907932699708
cpu-deterministic,quantisation,per_tensor,6,output_relative_error,0.16474205255508423
cpu-deterministic,quantisation,per_tensor,6,output_cosine,0.9866749048233032
cpu-deterministic,quantisation,per_channel,6,weight_sqnr_db,29.585411959420924
cpu-deterministic,quantisation,per_channel,6,output_sqnr_db,29.593023684959093
cpu-deterministic,quantisation,per_channel,6,output_relative_error,0.03313971310853958
cpu-deterministic,quantisation,per_channel,6,output_cosine,0.9994521141052246
cpu-deterministic,quantisation,per_group,6,weight_sqnr_db,32.04770889352373
cpu-deterministic,quantisation,per_group,6,output_sqnr_db,32.044547108784116
cpu-deterministic,quantisation,per_group,6,output_relative_error,0.02499035932123661
cpu-deterministic,quantisation,per_group,6,output_cosine,0.9996885657310486
cpu-deterministic,quantisation,per_tensor,5,weight_sqnr_db,9.353971895401278
cpu-deterministic,quantisation,per_tensor,5,output_sqnr_db,9.343076457241684
cpu-deterministic,quantisation,per_tensor,5,output_relative_error,0.3410720229148865
cpu-deterministic,quantisation,per_tensor,5,output_cosine,0.9464651942253113
cpu-deterministic,quantisation,per_channel,5,weight_sqnr_db,23.286609743819064
cpu-deterministic,quantisation,per_channel,5,output_sqnr_db,23.265188544485234
cpu-deterministic,quantisation,per_channel,5,output_relative_error,0.06866579502820969
cpu-deterministic,quantisation,per_channel,5,output_cosine,0.9976515173912048
cpu-deterministic,quantisation,per_group,5,weight_sqnr_db,25.734500667355125
cpu-deterministic,quantisation,per_group,5,output_sqnr_db,25.728910604847254
cpu-deterministic,quantisation,per_group,5,output_relative_error,0.05170760676264763
cpu-deterministic,quantisation,per_group,5,output_cosine,0.9986661672592163
cpu-deterministic,quantisation,per_tensor,4,weight_sqnr_db,3.009693012000905
cpu-deterministic,quantisation,per_tensor,4,output_sqnr_db,2.990394270555753
cpu-deterministic,quantisation,per_tensor,4,output_relative_error,0.708729088306427
cpu-deterministic,quantisation,per_tensor,4,output_cosine,0.7897941470146179
cpu-deterministic,quantisation,per_channel,4,weight_sqnr_db,16.677480352709598
cpu-deterministic,quantisation,per_channel,4,output_sqnr_db,16.678805610252017
cpu-deterministic,quantisation,per_channel,4,output_relative_error,0.14657491445541382
cpu-deterministic,quantisation,per_channel,4,output_cosine,0.9894287586212158
cpu-deterministic,quantisation,per_group,4,weight_sqnr_db,19.12618612541459
cpu-deterministic,quantisation,per_group,4,output_sqnr_db,19.118086365977064
cpu-deterministic,quantisation,per_group,4,output_relative_error,0.1106867715716362
cpu-deterministic,quantisation,per_group,4,output_cosine,0.9939393401145935
cpu-deterministic,quantisation,per_tensor,3,weight_sqnr_db,0.09038639600777602
cpu-deterministic,quantisation,per_tensor,3,output_sqnr_db,0.09465161801037483
cpu-deterministic,quantisation,per_tensor,3,output_relative_error,0.9891618490219116
cpu-deterministic,quantisation,per_tensor,3,output_cosine,0.2123071402311325
cpu-deterministic,quantisation,per_channel,3,weight_sqnr_db,9.526247053481669
cpu-deterministic,quantisation,per_channel,3,output_sqnr_db,9.522012189645931
cpu-deterministic,quantisation,per_channel,3,output_relative_error,0.3341175615787506
cpu-deterministic,quantisation,per_channel,3,output_cosine,0.9481682777404785
cpu-deterministic,quantisation,per_group,3,weight_sqnr_db,11.819053883296867
cpu-deterministic,quantisation,per_group,3,output_sqnr_db,11.811624060377584
cpu-deterministic,quantisation,per_group,3,output_relative_error,0.25669580698013306
cpu-deterministic,quantisation,per_group,3,output_cosine,0.9687642455101013
cpu-deterministic,quantisation,per_tensor,2,weight_sqnr_db,0.008887714303260543
cpu-deterministic,quantisation,per_tensor,2,output_sqnr_db,0.009117661149870357
cpu-deterministic,quantisation,per_tensor,2,output_relative_error,0.9989508986473083
cpu-deterministic,quantisation,per_tensor,2,output_cosine,0.053069889545440674
cpu-deterministic,quantisation,per_channel,2,weight_sqnr_db,1.4227045169050343
cpu-deterministic,quantisation,per_channel,2,output_sqnr_db,1.4234639729786567
cpu-deterministic,quantisation,per_channel,2,output_relative_error,0.8488417863845825
cpu-deterministic,quantisation,per_channel,2,output_cosine,0.6450058817863464
cpu-deterministic,quantisation,per_group,2,weight_sqnr_db,2.8648507149611198
cpu-deterministic,quantisation,per_group,2,output_sqnr_db,2.8558983429785147
cpu-deterministic,quantisation,per_group,2,output_relative_error,0.719788670539856
cpu-deterministic,quantisation,per_group,2,output_cosine,0.7767455577850342
