experiment,variant,size,metric,value
crossover_gpu,batched,1,gflop_per_s,247.5
crossover_gpu,bandwidth,1,gb_per_s,247.5
crossover_gpu,latency,1,ms_per_step,0.542
crossover_gpu,batched,2,gflop_per_s,322.5
crossover_gpu,bandwidth,2,gb_per_s,161.3
crossover_gpu,latency,2,ms_per_step,0.832
crossover_gpu,batched,4,gflop_per_s,597.1
crossover_gpu,bandwidth,4,gb_per_s,149.4
crossover_gpu,latency,4,ms_per_step,0.899
crossover_gpu,batched,8,gflop_per_s,1485.1
crossover_gpu,bandwidth,8,gb_per_s,186.0
crossover_gpu,latency,8,ms_per_step,0.723
crossover_gpu,batched,16,gflop_per_s,2937.3
crossover_gpu,bandwidth,16,gb_per_s,184.3
crossover_gpu,latency,16,ms_per_step,0.731
crossover_gpu,batched,32,gflop_per_s,5761.8
crossover_gpu,bandwidth,32,gb_per_s,181.5
crossover_gpu,latency,32,ms_per_step,0.745
crossover_gpu,batched,64,gflop_per_s,11276.9
crossover_gpu,bandwidth,64,gb_per_s,179.0
crossover_gpu,latency,64,ms_per_step,0.762
crossover_gpu,batched,128,gflop_per_s,18942.3
crossover_gpu,bandwidth,128,gb_per_s,152.6
crossover_gpu,latency,128,ms_per_step,0.907
crossover_gpu,batched,256,gflop_per_s,22302.7
crossover_gpu,bandwidth,256,gb_per_s,92.6
crossover_gpu,latency,256,ms_per_step,1.541
crossover_gpu,batched,512,gflop_per_s,23765.3
crossover_gpu,bandwidth,512,gb_per_s,52.2
crossover_gpu,latency,512,ms_per_step,2.892
