experiment,variant,threads,metric,value
false_sharing,adjacent,8,ns_per_op,6.194
false_sharing,padded,8,ns_per_op,0.363
race,racy,8,lost_pct,78.23
race,atomic,8,lost_pct,0.00
contention,mutex,1,mops_per_s,223.6
contention,atomic,1,mops_per_s,485.6
contention,sharded,1,mops_per_s,482.7
contention,mutex,2,mops_per_s,41.5
contention,atomic,2,mops_per_s,176.2
contention,sharded,2,mops_per_s,947.3
contention,mutex,4,mops_per_s,35.6
contention,atomic,4,mops_per_s,214.1
contention,sharded,4,mops_per_s,1913.5
contention,mutex,8,mops_per_s,28.7
contention,atomic,8,mops_per_s,96.3
contention,sharded,8,mops_per_s,2415.6
scheduler,global_lock,1,mops_per_s,215.0
scheduler,sharded,1,mops_per_s,1382.7
scheduler,global_lock,2,mops_per_s,55.5
scheduler,sharded,2,mops_per_s,2684.6
scheduler,global_lock,4,mops_per_s,26.7
scheduler,sharded,4,mops_per_s,12184.3
scheduler,global_lock,8,mops_per_s,25.4
scheduler,sharded,8,mops_per_s,7922.4
