experiment,variant,workers,metric,value
amdahl_calibration,injected_serial_0.00,1,speedup,1.000000
amdahl_calibration,injected_serial_0.00,2,speedup,1.975797
amdahl_calibration,injected_serial_0.00,3,speedup,2.842053
amdahl_calibration,injected_serial_0.00,4,speedup,3.728235
amdahl_calibration,injected_serial_0.00,5,speedup,4.639444
amdahl_calibration,injected_serial_0.00,6,speedup,5.408649
amdahl_calibration,injected_serial_0.00,7,speedup,6.076695
amdahl_calibration,injected_serial_0.00,8,speedup,6.696020
amdahl_calibration,injected_serial_0.00,0,recovered_p,0.976390
amdahl_calibration,injected_serial_0.05,1,speedup,1.000000
amdahl_calibration,injected_serial_0.05,2,speedup,1.785395
amdahl_calibration,injected_serial_0.05,3,speedup,2.535626
amdahl_calibration,injected_serial_0.05,4,speedup,3.216343
amdahl_calibration,injected_serial_0.05,5,speedup,3.771838
amdahl_calibration,injected_serial_0.05,6,speedup,4.400552
amdahl_calibration,injected_serial_0.05,7,speedup,4.810065
amdahl_calibration,injected_serial_0.05,8,speedup,5.282140
amdahl_calibration,injected_serial_0.05,0,recovered_p,0.919095
amdahl_calibration,injected_serial_0.15,1,speedup,1.000000
amdahl_calibration,injected_serial_0.15,2,speedup,1.612817
amdahl_calibration,injected_serial_0.15,3,speedup,2.134694
amdahl_calibration,injected_serial_0.15,4,speedup,2.551354
amdahl_calibration,injected_serial_0.15,5,speedup,2.909310
amdahl_calibration,injected_serial_0.15,6,speedup,3.134776
amdahl_calibration,injected_serial_0.15,7,speedup,3.249246
amdahl_calibration,injected_serial_0.15,8,speedup,3.440596
amdahl_calibration,injected_serial_0.15,0,recovered_p,0.808204
amdahl_calibration,injected_serial_0.30,1,speedup,1.000000
amdahl_calibration,injected_serial_0.30,2,speedup,1.509291
amdahl_calibration,injected_serial_0.30,3,speedup,1.826134
amdahl_calibration,injected_serial_0.30,4,speedup,1.961319
amdahl_calibration,injected_serial_0.30,5,speedup,2.177162
amdahl_calibration,injected_serial_0.30,6,speedup,2.297752
amdahl_calibration,injected_serial_0.30,7,speedup,2.393835
amdahl_calibration,injected_serial_0.30,8,speedup,2.433753
amdahl_calibration,injected_serial_0.30,0,recovered_p,0.673480
amdahl_t4,mutex,0,recovered_p,-7.665250
amdahl_t4,mutex,1,speedup,1.000000
amdahl_t4,mutex,2,speedup,0.185599
amdahl_t4,mutex,4,speedup,0.159213
amdahl_t4,mutex,8,speedup,0.128354
amdahl_t4,atomic,0,recovered_p,-3.400432
amdahl_t4,atomic,1,speedup,1.000000
amdahl_t4,atomic,2,speedup,0.362850
amdahl_t4,atomic,4,speedup,0.440898
amdahl_t4,atomic,8,speedup,0.198311
amdahl_t4,sharded,0,recovered_p,0.954411
amdahl_t4,sharded,1,speedup,1.000000
amdahl_t4,sharded,2,speedup,1.962503
amdahl_t4,sharded,4,speedup,3.964160
amdahl_t4,sharded,8,speedup,5.004351
pipeline_bubble,balanced,1,efficiency,0.265550
pipeline_bubble,balanced,1,predicted_efficiency,0.250000
